Name, Price, Quantity, Unit
Arroz Extra COSTEÑO Bolsa,17.20,5,kg
Aceite Vegetal NICOLINI Botella,4.99,1,l
Spaghetti DON VITTORIO Bolsa,4.40,1,kg
Aceite Vegetal PRIMOR Botella,6.75,1,l
Ketchup ALACENA Doypack,4.49,380,g
Galleta OREO Regular Paquete,2.99,6,un
Galleta Vainilla FIELD Paquete,3.19,6,un
Galletas de Soda SAN JORGE Paquete,2.60,7,un
Galleta Soda FIELD Paquete,2.30,6,un
Azúcar Rubia BELL'S Bolsa,13.99,5,kg
Aceite Vegetal PRIMOR Premium Botella,6.99,1,l
Trozos de Atún NICOLINI Lata,3.90,170,g
Avena SANTA CATALINA Bolsa,9.20,1,kg
Garbanzo BELL'S Bolsa,4.50,500,g
Quinua BELL'S Bolsa,7.30,500,g
Frijol Canario BELL'S Bolsa,6.55,500,g
Pop Corn BELL'S Bolsa,3.10,500,g
Filete de Atún FLORIDA en Aceite de Girasol Lata,5.49,170,g
Lenteja BELL'S Bolsa,3.40,500,g
Lenteja Bebé BELL'S Bolsa,3.40,500,g
Sal Marina EMSAL Mesa Bolsa,1.90,1,kg
Sal Marina EMSAL Cocina Bolsa,1.70,1,kg
Galletas de Soda COSTA Soda Line Paquete,2.49,6,un
Sopa Instantánea con Fideos AJINOMEN Sabor Gallina Bolsa,1.20,80,g
