Name, Price, Quantity, Unit
Gaseosa COCA COLA Sin Azúcar Botella 300ml Paquete,7.60,6,un
Gaseosa COCA COLA Botella 1.5L Paquete,10.60,2,un
Gaseosa INCA KOLA sin Azúcar Botella 1.5L Paquete,10.60,2,un
Gaseosa COCA COLA Sin Azúcar Botella 1.5L Paquete,10.60,2,un
Agua Mineral SAN MATEO sin Gas Bidón,7.50,7,l
Cerveza PILSEN 12Pack Lata,35.90,355,ml
Agua SAN LUIS sin Gas Bidón,6.50,7,l
Agua SAN LUIS sin Gas Caja,23.50,20,l
Gaseosa INCA KOLA Sin Azúcar Botella 300ml Paquete,7.59,6,un
Gaseosa EVERVESS Ginger Ale Botella 1.5L Pack,9.90,2,un
Gaseosa COCA COLA Sin Azúcar 6 Pack Botella,12.00,500,ml
Gaseosa COCA COLA Botella,3.70,1,l
Cerveza CORONA Extra 6 Pack Botella,29.90,355,ml
Vino NAVARRO CORREAS Malbec Los Árboles Botella,24.90,750,ml
Bebida GLORIA Maracuyá Caja,3.30,1,l
Bebida GLORIA Naranja Caja,3.30,1,l
Bebida GLORIA Piña Caja,3.30,1,l
Agua Mineral SAN MATEO sin Gas Botella,2.50,2.5,l
Néctar FRUGOS Durazno Caja,4.30,1.5,l
Cerveza CUSQUEÑA Dorada Golden Lager 6 Pack Botella,20.90,330,ml
Agua Mineral SAN LUIS sin Gas Botella 2.5L Paquete,13.00,6,un
Agua Mineral SAN LUIS Con Gas Botella,2.30,2.5,l
Agua Mineral SAN LUIS Con Gas Botella 625ml Paquete,7.00,6,un
Cerveza PILSEN 6 Pack Lata,21.00,355,ml
