Name, Price, Quantity, Unit
Bisteck de Res EL BUEN CORTE,22.90,1,un
Carne Molida de Res EL BUEN CORTE,15.99,1,un
Pollo Fresco con Menudencia,7.20,1,un
Filete de Pechuga de Pollo,23.99,1,un
Guiso Tierno de Res EL BUEN CORTE,17.90,1,un
Carne Molida Light de Res EL BUEN CORTE,29.50,1,un
Muslitos de Pollo,14.90,1,un
Lomo Saltado de Res EL BUEN CORTE,30.90,1,un
Filete de Pechuga Importado SADIA Bolsa,12.90,1,kg
Filete de Trucha sin Piel BELL'S Bolsa,22.90,500,g
Sangrecita de Pollo REDONDOS Bolsa,5.90,500,g
Pollo Fresco con Menudencia Trozado en 8 Piezas,7.69,1,un
Pierna con Encuentro de Pollo,11.50,1,un
Sasami de Pollo,23.90,1,un
Filete de Pierna de Pollo,20.90,1,un
Piernitas de Pollo,14.90,1,un
Pechuga Especial de Pollo,19.90,1,un
Alitas de Pollo,12.90,1,un
Molleja de Pollo,11.50,1,un
Patas de Pollo,4.50,1,un
Corazón de Pollo,10.90,1,un
Pechuga de Pollo con Alas,13.50,1,un
Hígado de Pollo,5.90,1,un
