Name, Price, Quantity, Unit
Pan Ciabatta Precocido Congelado BELL'S Bolsa,2.49,5,un
Pan Francés Precocido Congelado BELL'S Bolsa,2.49,5,un
Tiras de Pechuga de Pollo REDONDOS Empanizados Bolsa,9.90,300,g
Hamburguesa SAN FERNANDO La Casera Bolsa,14.29,14,un
Nuggets de Pechuga de Pollo REDONDOS Bolsa,5.50,13,un
Nuggets de Pollo SAN FERNANDO Paquete,4.20,10,un
Hamburguesa REDONDOS de Pollo Paquete,11.49,14,un
Nuggets Pechuga de Pollo SAN FERNANDO Caja,13.45,24,un
Chicharrón de Pollo AVINKA Doypack,16.90,450,g
Mini Hamburguesas de Carne OREGON FOODS Bolsa,26.99,20,un
Pizza Salame BELL'S Caja,14.99,360,g
Hamburguesa Casera de Pollo SAN FERNANDO Paquete,12.90,14,un
Hamburguesa OTTO KUNZ Premium 100% Pura Carne de Res Paquete,19.50,8,un
Hamburguesa Parrillera OREGON FOODS Carne de Res Caja,23.90,4,un
Hamburguesa de Pollo y Pavo SAN FERNANDO La Súper Bolsa,13.49,14,un
Nuggets de Pavita SAN FERNANDO con Quinua y Kiwicha Caja,15.99,24,un
Hamburguesa OTTO KUNZ Parrillera 100% Pura Carne de Res Paquete,17.50,4,un
Hamburguesa de Pollo y Pavo SAN FERNANDO La Súper Rica Bolsa,10.90,14,un
Hamburguesa Parrillera BON BEEF 200g Caja,25.49,4,un
Helado D'ONOFRIO Peziduri Tricolor Cremoso Pote,10.50,1,l
Helado D'ONOFRIO Peziduri Vainilla Cremoso Pote,10.50,1,l
Helado D'ONOFRIO Peziduri Lúcuma Cremoso Pote,10.50,1,l
Helado D'ONOFRIO Peziduri Chocolate Cremoso Pote,10.50,1,l
Pizza Americana BELL'S Caja,14.99,360,g
