Name, Price, Quantity, Unit
Pasta Dental COLGATE Triple Acción Tubo 60ml Paquete,15.90,6,un
Jabón de Tocador DOVE Crema Humectante 90g Paquete,7.80,3,un
Jabón Líquido AVAL Antibacterial Eucalipto Fresco Frasco,7.39,400,ml
Protector Facial VINIFAN Large CB-14046,4.90,1,un
Pasta Dental COLGATE Triple Acción Tubo 100ml Paquete,13.90,3,un
Toalla Higiénica NOSOTRAS Invisible Clásica Paquete,6.90,24,un
Jabón Antibacterial PROTEX Avena 110g Paquete,14.30,6,un
Jabón Antibacterial PROTEX Limpieza Profunda Antigranos 110g Paquete,7.80,3,un
Pasta Dental COLGATE Total 12 Tubo 75ml Paquete,19.90,3,un
Jabón de Tocador SAVITAL Avena 125g Paquete,5.50,3,un
Jabón de Tocador DOVE Blanco 90g Paquete,14.70,6,un
Toalla Higienica NOSOTRAS Invisible Paquete,8.90,30,un
Cepillo Dental COLGATE Extra Clean Paquete,8.70,3,un
Pasta Dental COLGATE Luminous White Tubo 75ml Paquete,14.50,2,un
Pasta Dental ORAL-B Complete 4 en 1 Tubo 66ml Paquete,9.50,3,un
Jabón Líquido PROTEX Avena Doypack,7.90,500,ml
Toalla Higiénica NOSOTRAS Buenas Noches Mayor Protección Paquete,12.40,24,un
Toalla Higiénica NOSOTRAS Natural Tela Invisible Paquete,8.90,30,un
Pasta Dental AQUAFRESH Soft Mint Tubo 85g Paquete,11.90,3,un
Pasta Dental COLGATE Triple Acción Tubo 100ml Paquete,9.30,2,un
Pasta Dental COLGATE Herbal Tubo,2.60,90,g
Pasta Dental COLGATE Triple Acción Tubo 75ml Paquete,11.90,3,un
Alcohol Etílico BOREAL 96° Frasco,13.50,1,l
Protector Facial VINIFAN Medium CB-14045,4.90,1,un
