Name, Price, Quantity, Unit
Cebolla Roja BELL'S Bolsa,4.99,2,kg
Mandarina HAPPY FRUT Malla,2.99,2,kg
Palta Fuerte Malla,6.49,1,kg
Limón Ácido Malla,2.89,500,g
Papa Canchan BELL'S Malla,5.50,2,kg
Zapallo Macre,2.59,1,un
Piña Golden Malla,5.39,2.5,kg
Fresa Premium LA FLORENCIA Táper,8.99,500,g
Papaya Bolsa,4.49,3,kg
Vainita Americana Bolsa,5.89,500,g
Choclo x unidad,2.19,1,un
Camote Amarillo Procesado Malla,1.99,2.2,kg
Espinaca BELL'S Bolsa,6.90,350,g
Pepinillo Bolsa,3.59,1,kg
Arveja Bolsa,6.99,500,g
Apio x unidad,3.59,1,un
Zanahoria Entera Malla,3.49,2,kg
Pera Packhams Importada Bolsa,7.10,1,kg
Cebolla Blanca Malla,1.89,1,kg
Papa Amarilla Bells Malla,8.29,2,kg
Rabanito LA FLORENCIA Bolsa,2.90,400,g
Lechuga Crespa Hidropónica LA FLORENCIA,2.90,1,un
Piña Hawai Malla,2.49,2.5,kg
Sandía,1.49,1,un
