Name, Price, Quantity, Unit
Huevos Pardos LA CALERA Paquete,13.60,30,un
Leche Evaporada GLORIA Azul Paquete 6un Lata,18.99,400,g
Huevos de Gallina BELL'S Pardos Bandeja,6.99,15,un
Leche Evaporada LAIVE Sin Lactosa Caja 350g Paquete,18.99,6,un
Huevos de Gallina LA CALERA de Corral Bandeja,7.90,12,un
Leche Evaporada GLORIA Light Paquete 6un Lata,19.99,400,g
Yogurt Bebible GLORIA Fresa Botella,5.40,1,kg
Leche Evaporada GLORIA Azul Lata,3.20,400,g
Mezcla Láctea BONLÉ Entera Paquete 6un Caja,15.60,500,g
Yogurt GLORIA Batti Mix Vainilla con Bolitas de Chocolate Vaso,2.89,125,g
Leche Evaporada GLORIA Sin Lactosa Paquete 6un Lata,20.99,400,g
Leche Fresca UHT GLORIA sin Lactosa Caja,4.90,1,l
Leche UHT GLORIA Light Pack 3un x,13.20,1,l
Leche Fresca LAIVE Entera Bolsa,3.39,900,ml
Huevos de Codorniz LA CALERA Bandeja,4.79,18,un
Leche GLORIA UHT Entera Caja,4.50,1,l
Leche Fresca LAIVE Light Bolsa,3.39,900,ml
Huevos de Gallina LA CALERA Pardos Jumbo Bandeja,8.49,15,un
Leche Fresca UHT GLORIA Entera Bolsa,3.50,946,ml
Leche UHT GLORIA sin Lactosa Pack 3un x,14.10,1,l
Leche Entera UHT DANLAC Caja,5.49,1,l
Yogurt Bebible GLORIA Durazno Botella,5.40,1,kg
Yogurt Griego VAKIMU Original Balde,14.90,1,kg
Yogurt Griego VAKIMU Frutos del Bosque Balde,14.90,1,kg
