Name, Price, Quantity, Unit
Papel Bond XEROX A4 75g Caja 1Resma,9.90,1,un
Papel Bond CLASS & WORK A4 Paquete 500 Hojas,8.90,1,un
Set de Témperas ARTESCO 7 Colores Pote 30ml + Pincel + Paleta,5.90,1,un
Plumones CLASS&WORK Colores Paquete,1.90,12,un
Perforador Escolar ARTESCO M-01 Negro,6.70,1,un
Colores CLASS&WORK Triangulares Caja,1.90,15,un
Pack Pastel CLASS & WORK Blíster,9.90,14,un
Corrector VINIFAN 4ml Flex Blister,1.40,2,un
Grapas RAPID Caja,2.90,500,un
Papeles de Colores MACEDONIA Origami 9 Colores Block 35 Hojas,5.90,1,un
Plumones para Pizarra VINIFAN Master 123 Blíster,5.04,4,un
Notas Adhesivas ARTESCO Colores Neon Paquete,3.30,250,un
Goma en Barra PEGAFAN Stick Tubo,2.90,36,g
Plastilina LAYCONSA Puppy Jumbo Caja,3.70,12,un
Limpiatipo ALPHA Verde Limón Blister,2.20,1,un
Pom Pom ARTESCO 1.5cm Colores Bolsa,2.40,100,un
Tijera Clásica,1.40,1,un
Papeles de Colores MACEDONIA A4 Block Arcoiris Paquete 40 Hojas,8.90,1,un
Goma PEGAFAN,2.00,1,un
Papel Bond ATLAS A4 80g Caja 1Resma,14.50,1,un
Colores Metálicos CLASS & WORK Triangulares Caja,3.90,12,un
