Name, Price, Quantity, Unit
Papel Higiénico ELITE Plus Doble Hoja,29.90,40,un
Jabón para Ropa BOLÍVAR Baby & Kids Barra,1.99,210,g
Papel Higiénico ELITE Doble Hoja Paquete,29.90,40,un
Lejía BOREAL Tradicional Galón,8.90,4,kg
Esponja SCOTCH-BRITE Multiusos Paquete,13.90,6,un
Servilletas  de Papel ELITE Dobladas en 4 Paquete,3.39,100,un
Lejía CLOROX Tradicional Galonera,11.50,4,l
Papel Toalla ELITE Mega Rollo Doble Hoja Paquete,5.99,2,un
Papel Higiénico SUAVE Cuidado Completo Doble Hoja Paquete,29.90,40,un
Limpiador Limpiatodo SAPOLIO Lavanda Botella,12.50,5,l
Detergente en Polvo ACE Limón Bolsa,29.90,4,kg
Detergente en Polvo BOLIVAR Active Duo Bolsa,23.80,2.6,kg
Lejía SAPOLIO Galonera,9.90,5,l
Detergente en Polvo OPAL Ultra Multipower Floral Bolsa,20.00,2.6,kg
Bolsas para Baño y Cocina BOREAL de 15 Litros Paquete,2.60,10,un
Bolsas conservadoras BELL'S Para congelar 9x14 Paquete,3.40,100,un
Bolsas para Basura BOREAL de 35 Litros Paquete,2.80,10,un
Lavavajillas en Pasta AYUDÍN Limón Pote,6.00,900,g
Desinfectante para Pisos LYSOL Limón Doypack,7.90,800,ml
Lavavajillas en Pasta AYUDÍN Limón Pote,4.50,520,g
Lavavajillas en Pasta AYUDÍN Limón Pote,4.80,800,g
Detergente en Polvo ACE Limón Bolsa,17.90,2,kg
Detergente en Polvo MARSELLA Aromaterapia Petalos Relajantes Bolsa,26.99,4,kg
Lavavajillas Líquido MARSELLA Limón Frasco,9.00,900,ml
