Name, Price, Quantity, Unit
Pan de Molde Blanco BIMBO Extra Grande Bolsa,10.80,750,g
Pan Ciabatta Precocido Congelado BELL'S Bolsa,2.49,5,un
Pan Francés Precocido Congelado BELL'S Bolsa,2.49,5,un
Tortillas BIMBO Clásicas Bolsa,8.60,12,un
Pan de Molde Integral BIMBO Vital Multicereal Bolsa,9.99,600,g
Pan Árabe Integral EL CEDRO con Salvado de Trigo Bolsa,5.40,10,un
Canela Entera TOÑA Sobre,2.80,8,g
Petit Pan LA FLORENCIA Bolsa,5.70,550,g
Pan de Yema Bolsa,6.20,5,un
Pan Francés Bolsa,6.20,5,un
Pan de Molde Blanco BIMBO Artesano Bolsa,8.99,530,g
Pan para Hot Dog BIMBO Bolsa,5.80,8,un
Pan de Molde Blanco DON MAMINO sin Corteza Bolsa,11.49,560,g
Gelatina ROYAL Sabor a Fresa Bolsa,2.69,160,g
Leche Condensada NESTLÉ Lata,2.30,100,g
Leche Condensada NESTLÉ Lata,4.80,393,g
Pasas Morenas BELL'S Táper,5.90,250,g
Pan de Molde Blanco BIMBO Vital de Semillas Bolsa,10.49,600,g
Maicena DURYEA Caja,1.50,100,g
Pan Árabe Blanco EL CEDRO Bolsa,5.40,10,un
Panetón SANTA CLARA Bolsa,7.90,850,g
Levadura Fresca FLEISCHMANN Paquete,8.99,500,g
Keke de Plátano LA FLORENCIA,7.90,1,un
Pan Integral Bolsa,6.20,5,un
